complaint_id,order_id,complaint_type,resolution_time
1,51805,Missing Item,16
2,29403,Cold Food,45
3,56654,Wrong Item,32
4,37622,Late Delivery,20
5,43557,Missing Item,69
6,34096,Cold Food,39
7,60781,Missing Item,51
8,78530,Wrong Item,68
9,31027,Missing Item,30
10,6903,Missing Item,19
11,73074,Late Delivery,2
12,50264,Missing Item,10
13,53609,Missing Item,20
14,34661,Wrong Item,68
15,8587,Late Delivery,33
16,26503,Cold Food,55
17,35073,Wrong Item,20
18,35038,Late Delivery,40
19,57341,Missing Item,5
20,99773,Cold Food,35
21,22808,Cold Food,70
22,40278,Late Delivery,53
23,57912,Missing Item,47
24,77293,Missing Item,5
25,57332,Wrong Item,54
26,85344,Wrong Item,9
27,29719,Late Delivery,69
28,93944,Missing Item,14
29,74227,Late Delivery,52
30,24862,Missing Item,12
31,92539,Missing Item,28
32,857,Missing Item,68
33,47002,Late Delivery,13
34,23501,Cold Food,23
35,13221,Missing Item,2
36,12519,Late Delivery,42
37,34714,Missing Item,17
38,20044,Late Delivery,37
39,1454,Late Delivery,11
40,5517,Late Delivery,35
41,95401,Late Delivery,28
42,33966,Late Delivery,62
43,36842,Cold Food,15
44,53322,Missing Item,7
45,14358,Late Delivery,44
46,97011,Wrong Item,6
47,53662,Missing Item,42
48,28039,Late Delivery,43
49,27458,Wrong Item,57
50,46336,Late Delivery,30
51,18743,Cold Food,5
52,78464,Wrong Item,11
53,10752,Missing Item,11
54,88422,Cold Food,60
55,53984,Wrong Item,20
56,7199,Late Delivery,48
57,33469,Late Delivery,23
58,22820,Late Delivery,52
59,46422,Wrong Item,41
60,97464,Cold Food,14
61,46197,Cold Food,48
62,16789,Late Delivery,62
63,62074,Wrong Item,7
64,4007,Missing Item,65
65,7954,Wrong Item,60
66,41079,Wrong Item,50
67,76757,Cold Food,32
68,737,Late Delivery,16
69,29307,Cold Food,51
70,5698,Cold Food,69
71,40020,Cold Food,30
72,93392,Wrong Item,33
73,66042,Late Delivery,27
74,14217,Wrong Item,59
75,81309,Late Delivery,59
76,11120,Missing Item,15
77,49027,Wrong Item,68
78,18488,Missing Item,16
79,85358,Missing Item,70
80,33173,Wrong Item,65
81,30177,Missing Item,49
82,1497,Late Delivery,57
83,48757,Wrong Item,37
84,49829,Late Delivery,64
85,96352,Cold Food,6
86,53868,Late Delivery,59
87,42329,Late Delivery,17
88,24852,Cold Food,7
89,9424,Wrong Item,25
90,3386,Wrong Item,53
91,51649,Cold Food,28
92,20100,Wrong Item,51
93,14279,Late Delivery,22
94,97896,Wrong Item,20
95,87115,Late Delivery,55
96,43564,Wrong Item,23
97,17235,Late Delivery,55
98,76604,Late Delivery,58
99,80980,Late Delivery,56
100,7713,Cold Food,49
101,61548,Cold Food,43
102,16835,Wrong Item,48
103,79322,Late Delivery,57
104,68011,Wrong Item,28
105,61841,Cold Food,39
106,44873,Late Delivery,43
107,94239,Wrong Item,16
108,47645,Late Delivery,47
109,21033,Missing Item,61
110,35548,Late Delivery,28
111,50041,Cold Food,57
112,21541,Missing Item,20
113,97838,Late Delivery,54
114,16688,Wrong Item,19
115,6718,Wrong Item,23
116,29456,Late Delivery,30
117,55461,Wrong Item,49
118,76549,Missing Item,30
119,44184,Cold Food,2
120,33826,Late Delivery,1
121,68613,Cold Food,63
122,14458,Wrong Item,29
123,69639,Missing Item,20
124,20448,Wrong Item,6
125,8811,Wrong Item,26
126,89436,Cold Food,13
127,32096,Wrong Item,42
128,79548,Wrong Item,38
129,6314,Cold Food,60
130,1426,Late Delivery,30
131,22249,Late Delivery,24
132,67857,Wrong Item,46
133,60346,Cold Food,54
134,91703,Missing Item,27
135,88597,Missing Item,39
136,66263,Wrong Item,42
137,14476,Cold Food,34
138,52901,Late Delivery,4
139,19282,Late Delivery,43
140,96372,Late Delivery,8
141,52202,Wrong Item,31
142,68545,Late Delivery,17
143,32638,Missing Item,31
144,34349,Late Delivery,26
145,80840,Cold Food,2
146,79088,Late Delivery,34
147,83225,Wrong Item,19
148,40321,Late Delivery,33
149,73102,Wrong Item,34
150,25731,Missing Item,6
151,48834,Missing Item,44
152,12945,Missing Item,46
153,76472,Missing Item,48
154,62769,Missing Item,16
155,61973,Wrong Item,25
156,84546,Late Delivery,12
157,22161,Cold Food,39
158,7026,Cold Food,5
159,4464,Late Delivery,31
160,12017,Late Delivery,67
161,97101,Missing Item,45
162,15155,Missing Item,2
163,18214,Wrong Item,23
164,63175,Cold Food,16
165,89197,Cold Food,64
166,62547,Cold Food,59
167,21914,Missing Item,50
168,71794,Cold Food,71
169,51882,Wrong Item,62
170,76095,Late Delivery,10
171,79052,Cold Food,64
172,46586,Cold Food,65
173,33980,Late Delivery,40
174,81560,Cold Food,40
175,11185,Missing Item,33
176,23131,Late Delivery,14
177,62286,Wrong Item,62
178,23244,Cold Food,6
179,65686,Missing Item,29
180,38830,Wrong Item,15
181,94418,Wrong Item,9
182,85655,Missing Item,58
183,42300,Missing Item,23
184,81206,Wrong Item,23
185,74700,Late Delivery,70
186,91085,Cold Food,11
187,30325,Wrong Item,61
188,74184,Cold Food,60
189,19743,Late Delivery,39
190,63462,Wrong Item,30
191,23225,Cold Food,3
192,17907,Late Delivery,34
193,36217,Missing Item,41
194,76919,Late Delivery,40
195,55995,Wrong Item,41
196,61539,Missing Item,60
197,73503,Cold Food,33
198,19654,Cold Food,44
199,86887,Missing Item,58
200,33092,Late Delivery,45
201,78338,Late Delivery,47
202,70799,Wrong Item,9
203,95857,Missing Item,18
204,62663,Cold Food,38
205,60127,Cold Food,32
206,37110,Cold Food,2
207,98205,Missing Item,38
208,84820,Late Delivery,63
209,57031,Missing Item,40
210,50083,Late Delivery,40
211,92104,Missing Item,68
212,10596,Wrong Item,22
213,54282,Wrong Item,65
214,62921,Late Delivery,32
215,32251,Missing Item,26
216,6367,Late Delivery,8
217,44848,Late Delivery,21
218,60574,Wrong Item,46
219,48788,Missing Item,58
220,4124,Cold Food,61
221,77435,Late Delivery,52
222,26123,Wrong Item,31
223,50834,Late Delivery,45
224,76296,Wrong Item,33
225,26228,Cold Food,13
226,12832,Late Delivery,48
227,57421,Cold Food,5
228,37882,Wrong Item,56
229,39988,Missing Item,18
230,32975,Wrong Item,56
231,82750,Missing Item,6
232,30144,Missing Item,60
233,5170,Late Delivery,42
234,69932,Cold Food,13
235,13790,Missing Item,56
236,69330,Late Delivery,71
237,12176,Cold Food,66
238,53245,Missing Item,52
239,67406,Wrong Item,23
240,2868,Cold Food,6
241,61909,Wrong Item,59
242,9453,Wrong Item,45
243,7565,Wrong Item,2
244,94551,Missing Item,19
245,9140,Cold Food,39
246,70308,Wrong Item,42
247,10907,Cold Food,55
248,19830,Missing Item,7
249,62001,Late Delivery,53
250,41285,Late Delivery,37
251,86559,Wrong Item,63
252,423,Missing Item,43
253,92337,Cold Food,62
254,11541,Wrong Item,22
255,13301,Wrong Item,44
256,54790,Missing Item,53
257,46701,Late Delivery,66
258,31485,Late Delivery,50
259,39780,Missing Item,68
260,34044,Missing Item,67
261,60518,Wrong Item,23
262,79860,Late Delivery,13
263,17099,Missing Item,34
264,69046,Late Delivery,30
265,89896,Cold Food,31
266,77681,Wrong Item,5
267,9933,Late Delivery,27
268,11542,Late Delivery,2
269,37978,Cold Food,65
270,22009,Missing Item,28
271,97823,Cold Food,50
272,21921,Cold Food,16
273,83340,Missing Item,55
274,63157,Missing Item,42
275,77351,Missing Item,28
276,66389,Wrong Item,39
277,31866,Late Delivery,4
278,73567,Cold Food,10
279,35788,Missing Item,42
280,99928,Cold Food,50
281,35165,Missing Item,5
282,62357,Missing Item,30
283,98262,Wrong Item,6
284,78459,Late Delivery,34
285,98900,Wrong Item,4
286,33159,Missing Item,71
287,35374,Missing Item,22
288,36540,Late Delivery,34
289,25307,Missing Item,50
290,9981,Cold Food,35
291,58159,Missing Item,16
292,56418,Wrong Item,60
293,20862,Late Delivery,11
294,60482,Cold Food,21
295,621,Missing Item,38
296,47369,Missing Item,50
297,10370,Cold Food,17
298,95814,Wrong Item,56
299,71879,Wrong Item,30
300,41872,Cold Food,42
301,87647,Wrong Item,14
302,52514,Cold Food,37
303,52957,Wrong Item,10
304,49755,Cold Food,9
305,52398,Wrong Item,39
306,94998,Cold Food,49
307,76780,Wrong Item,68
308,45598,Cold Food,6
309,61232,Cold Food,41
310,99002,Missing Item,34
311,37899,Late Delivery,69
312,8649,Late Delivery,8
313,73801,Missing Item,18
314,67612,Missing Item,56
315,95703,Missing Item,61
316,2508,Wrong Item,43
317,99078,Cold Food,53
318,39190,Cold Food,44
319,94,Wrong Item,64
320,54163,Missing Item,27
321,77718,Cold Food,67
322,85346,Missing Item,56
323,23967,Missing Item,1
324,41421,Wrong Item,49
325,32053,Late Delivery,18
326,12153,Wrong Item,39
327,88587,Late Delivery,38
328,79808,Cold Food,15
329,68634,Wrong Item,22
330,62060,Wrong Item,63
331,89184,Wrong Item,23
332,49172,Missing Item,65
333,33999,Late Delivery,20
334,18832,Cold Food,36
335,89397,Missing Item,22
336,75761,Late Delivery,45
337,94224,Cold Food,43
338,67602,Cold Food,26
339,43790,Cold Food,70
340,25703,Cold Food,10
341,664,Cold Food,1
342,40912,Late Delivery,3
343,29265,Wrong Item,12
344,76637,Wrong Item,16
345,52073,Missing Item,31
346,27465,Cold Food,37
347,19914,Missing Item,34
348,75186,Missing Item,48
349,62773,Missing Item,57
350,5435,Missing Item,42
351,99701,Late Delivery,13
352,59430,Late Delivery,51
353,85745,Cold Food,53
354,65830,Late Delivery,26
355,58318,Missing Item,15
356,2691,Missing Item,17
357,58124,Missing Item,67
358,43160,Cold Food,2
359,46157,Missing Item,55
360,44320,Late Delivery,64
361,99335,Missing Item,35
362,91165,Wrong Item,62
363,35319,Missing Item,68
364,58949,Missing Item,69
365,294,Missing Item,53
366,10998,Missing Item,37
367,36722,Cold Food,22
368,56457,Missing Item,5
369,16716,Wrong Item,68
370,70978,Late Delivery,36
371,78561,Cold Food,61
372,70530,Cold Food,49
373,99906,Wrong Item,20
374,3481,Wrong Item,33
375,16883,Missing Item,7
376,40994,Missing Item,50
377,46765,Late Delivery,35
378,92299,Missing Item,40
379,96189,Late Delivery,44
380,20328,Wrong Item,60
381,15109,Missing Item,19
382,44966,Missing Item,29
383,50247,Wrong Item,35
384,13121,Wrong Item,60
385,25327,Wrong Item,32
386,98394,Missing Item,10
387,31124,Cold Food,55
388,79576,Wrong Item,1
389,27607,Late Delivery,57
390,79237,Wrong Item,36
391,12619,Cold Food,48
392,34540,Wrong Item,46
393,78942,Wrong Item,23
394,26378,Cold Food,33
395,39246,Missing Item,66
396,89167,Wrong Item,38
397,24716,Wrong Item,58
398,1022,Wrong Item,1
399,40298,Cold Food,23
400,62572,Wrong Item,50
401,20869,Late Delivery,64
402,83346,Wrong Item,63
403,58475,Late Delivery,70
404,47006,Missing Item,43
405,95931,Cold Food,25
406,68298,Missing Item,58
407,38875,Cold Food,69
408,32594,Cold Food,14
409,87743,Missing Item,33
410,1942,Cold Food,29
411,30974,Cold Food,29
412,15059,Late Delivery,14
413,34600,Missing Item,42
414,64358,Wrong Item,70
415,73780,Missing Item,9
416,26310,Wrong Item,48
417,39841,Late Delivery,47
418,48429,Wrong Item,37
419,79248,Cold Food,48
420,96053,Late Delivery,69
421,32305,Cold Food,49
422,59699,Wrong Item,37
423,30088,Late Delivery,33
424,12565,Missing Item,23
425,67114,Wrong Item,42
426,59311,Late Delivery,45
427,23142,Late Delivery,10
428,24159,Missing Item,33
429,59298,Late Delivery,47
430,33603,Wrong Item,39
431,47015,Late Delivery,45
432,60576,Missing Item,48
433,38790,Wrong Item,44
434,75096,Late Delivery,4
435,51430,Wrong Item,6
436,3343,Cold Food,49
437,16174,Cold Food,42
438,78657,Missing Item,18
439,35321,Cold Food,31
440,97785,Late Delivery,32
441,17756,Wrong Item,25
442,4299,Late Delivery,5
443,45032,Late Delivery,61
444,94089,Late Delivery,5
445,76621,Cold Food,2
446,47017,Cold Food,7
447,21135,Cold Food,15
448,27616,Cold Food,60
449,53842,Late Delivery,33
450,68826,Missing Item,48
451,12997,Wrong Item,29
452,31653,Late Delivery,71
453,8418,Cold Food,8
454,97064,Late Delivery,55
455,22093,Missing Item,14
456,79506,Wrong Item,19
457,21746,Late Delivery,38
458,73683,Cold Food,20
459,22718,Missing Item,32
460,44062,Cold Food,63
461,68129,Missing Item,52
462,64015,Wrong Item,2
463,57668,Cold Food,11
464,54081,Wrong Item,4
465,71426,Cold Food,7
466,95018,Wrong Item,29
467,44893,Missing Item,25
468,71285,Late Delivery,7
469,1332,Cold Food,51
470,43754,Cold Food,52
471,38149,Missing Item,63
472,74048,Missing Item,63
473,19209,Missing Item,43
474,60798,Late Delivery,40
475,63149,Missing Item,16
476,28428,Late Delivery,66
477,86126,Cold Food,12
478,5884,Cold Food,69
479,61867,Missing Item,60
480,14841,Cold Food,21
481,22159,Wrong Item,52
482,6914,Cold Food,38
483,40490,Wrong Item,67
484,74418,Late Delivery,11
485,9272,Wrong Item,47
486,19413,Wrong Item,64
487,71421,Cold Food,58
488,44489,Cold Food,18
489,15979,Missing Item,2
490,70397,Late Delivery,26
491,88461,Wrong Item,6
492,34256,Missing Item,44
493,55111,Missing Item,55
494,60841,Cold Food,19
495,65885,Wrong Item,46
496,53810,Late Delivery,49
497,37559,Cold Food,5
498,45167,Late Delivery,69
499,16744,Late Delivery,44
500,61782,Wrong Item,12
501,91500,Missing Item,42
502,44846,Late Delivery,66
503,49196,Late Delivery,46
504,43588,Missing Item,9
505,85978,Late Delivery,26
506,56332,Cold Food,49
507,61163,Wrong Item,68
508,50766,Cold Food,6
509,95914,Wrong Item,9
510,35767,Cold Food,11
511,36087,Missing Item,5
512,15540,Missing Item,67
513,24739,Cold Food,33
514,61235,Cold Food,30
515,29216,Cold Food,1
516,87734,Wrong Item,24
517,8250,Missing Item,65
518,95066,Missing Item,9
519,54868,Late Delivery,65
520,19961,Missing Item,4
521,60829,Missing Item,18
522,38132,Late Delivery,68
523,95223,Missing Item,31
524,32623,Cold Food,11
525,80845,Cold Food,60
526,19544,Missing Item,61
527,1811,Cold Food,46
528,11933,Cold Food,53
529,81809,Missing Item,3
530,89917,Wrong Item,19
531,7521,Wrong Item,21
532,27322,Late Delivery,64
533,48698,Cold Food,55
534,5872,Missing Item,28
535,44040,Missing Item,57
536,49956,Late Delivery,46
537,769,Late Delivery,48
538,44262,Late Delivery,33
539,6897,Cold Food,37
540,64750,Cold Food,11
541,57395,Late Delivery,52
542,68151,Wrong Item,29
543,43256,Cold Food,19
544,55973,Late Delivery,44
545,12555,Missing Item,31
546,30601,Missing Item,12
547,13934,Late Delivery,59
548,9403,Late Delivery,45
549,89224,Missing Item,38
550,99363,Wrong Item,38
551,31460,Cold Food,15
552,95133,Missing Item,50
553,96096,Cold Food,41
554,79975,Wrong Item,14
555,69897,Missing Item,21
